raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
337,2010,4,6,25.0,3,1.0,Fernando Alonso,Ferrari,15,1.0
337,2010,13,6,18.0,2,2.0,Felipe Massa,Ferrari,18,0.0
337,2010,1,1,15.0,4,3.0,Lewis Hamilton,McLaren,12,1.0
337,2010,20,9,12.0,1,4.0,Sebastian Vettel,Red Bull,25,1.0
337,2010,3,131,10.0,5,5.0,Nico Rosberg,Mercedes,10,1.0
337,2010,30,131,8.0,7,6.0,Michael Schumacher,Mercedes,6,0.0
337,2010,18,1,6.0,8,7.0,Jenson Button,McLaren,4,0.0
337,2010,17,9,4.0,6,8.0,Mark Webber,Red Bull,8,0.0
337,2010,24,10,2.0,12,9.0,Vitantonio Liuzzi,Force India,0,1.0
337,2010,22,3,1.0,11,10.0,Rubens Barrichello,Williams,0,1.0
337,2010,9,4,0.0,9,11.0,Robert Kubica,Renault,2,0.0
337,2010,16,10,0.0,10,12.0,Adrian Sutil,Force India,1,0.0
337,2010,153,5,0.0,18,13.0,Jaime Alguersuari,Toro Rosso,0,1.0
337,2010,807,3,0.0,13,14.0,Nico Hülkenberg,Williams,0,0.0
337,2010,5,205,0.0,21,15.0,Heikki Kovalainen,Lotus,0,1.0
337,2010,67,5,0.0,15,16.0,Sébastien Buemi,Toro Rosso,0,0.0
337,2010,15,205,0.0,20,17.0,Jarno Trulli,Lotus,0,0.0
337,2010,37,15,0.0,14,,Pedro de la Rosa,Sauber,0,0.0
337,2010,811,164,0.0,23,,Bruno Senna,HRT,0,0.0
337,2010,10,166,0.0,19,,Timo Glock,Virgin,0,0.0
337,2010,808,4,0.0,17,,Vitaly Petrov,Renault,0,1.0
337,2010,155,15,0.0,16,,Kamui Kobayashi,Sauber,0,1.0
337,2010,810,166,0.0,22,,Lucas di Grassi,Virgin,0,1.0
337,2010,812,164,0.0,24,,Karun Chandhok,HRT,0,1.0
338,2010,18,1,25.0,4,1.0,Jenson Button,McLaren,12,1.0
338,2010,9,4,18.0,9,2.0,Robert Kubica,Renault,2,0.0
338,2010,13,6,15.0,5,3.0,Felipe Massa,Ferrari,10,1.0
338,2010,4,6,12.0,3,4.0,Fernando Alonso,Ferrari,15,0.0
338,2010,3,131,10.0,6,5.0,Nico Rosberg,Mercedes,8,1.0
338,2010,1,1,8.0,11,6.0,Lewis Hamilton,McLaren,0,0.0
338,2010,24,10,6.0,13,7.0,Vitantonio Liuzzi,Force India,0,1.0
338,2010,22,3,4.0,8,8.0,Rubens Barrichello,Williams,4,0.0
338,2010,17,9,2.0,2,9.0,Mark Webber,Red Bull,18,0.0
338,2010,30,131,1.0,7,10.0,Michael Schumacher,Mercedes,6,0.0
338,2010,153,5,0.0,17,11.0,Jaime Alguersuari,Toro Rosso,0,1.0
338,2010,37,15,0.0,14,12.0,Pedro de la Rosa,Sauber,0,0.0
338,2010,5,205,0.0,19,13.0,Heikki Kovalainen,Lotus,0,0.0
338,2010,812,164,0.0,22,14.0,Karun Chandhok,HRT,0,1.0
338,2010,10,166,0.0,23,,Timo Glock,Virgin,0,0.0
338,2010,810,166,0.0,24,,Lucas di Grassi,Virgin,0,1.0
338,2010,20,9,0.0,1,,Sebastian Vettel,Red Bull,25,1.0
338,2010,16,10,0.0,10,,Adrian Sutil,Force India,1,0.0
338,2010,808,4,0.0,18,,Vitaly Petrov,Renault,0,1.0
338,2010,811,164,0.0,21,,Bruno Senna,HRT,0,0.0
338,2010,67,5,0.0,12,,Sébastien Buemi,Toro Rosso,0,0.0
338,2010,807,3,0.0,15,,Nico Hülkenberg,Williams,0,1.0
338,2010,155,15,0.0,16,,Kamui Kobayashi,Sauber,0,1.0
338,2010,15,205,0.0,20,,Jarno Trulli,Lotus,0,1.0
339,2010,20,9,25.0,3,1.0,Sebastian Vettel,Red Bull,15,1.0
339,2010,17,9,18.0,1,2.0,Mark Webber,Red Bull,25,0.0
339,2010,3,131,15.0,2,3.0,Nico Rosberg,Mercedes,18,0.0
339,2010,9,4,12.0,6,4.0,Robert Kubica,Renault,8,0.0
339,2010,16,10,10.0,4,5.0,Adrian Sutil,Force India,12,0.0
339,2010,1,1,8.0,20,6.0,Lewis Hamilton,McLaren,0,1.0
339,2010,13,6,6.0,21,7.0,Felipe Massa,Ferrari,0,1.0
339,2010,18,1,4.0,17,8.0,Jenson Button,McLaren,0,0.0
339,2010,153,5,2.0,14,9.0,Jaime Alguersuari,Toro Rosso,0,1.0
339,2010,807,3,1.0,5,10.0,Nico Hülkenberg,Williams,10,1.0
339,2010,67,5,0.0,13,11.0,Sébastien Buemi,Toro Rosso,0,0.0
339,2010,22,3,0.0,7,12.0,Rubens Barrichello,Williams,6,0.0
339,2010,4,6,0.0,19,13.0,Fernando Alonso,Ferrari,0,0.0
339,2010,810,166,0.0,24,14.0,Lucas di Grassi,Virgin,0,1.0
339,2010,812,164,0.0,22,15.0,Karun Chandhok,HRT,0,1.0
339,2010,811,164,0.0,23,16.0,Bruno Senna,HRT,0,0.0
339,2010,15,205,0.0,18,17.0,Jarno Trulli,Lotus,0,1.0
339,2010,5,205,0.0,15,,Heikki Kovalainen,Lotus,0,0.0
339,2010,808,4,0.0,11,,Vitaly Petrov,Renault,0,1.0
339,2010,24,10,0.0,10,,Vitantonio Liuzzi,Force India,1,1.0
339,2010,30,131,0.0,8,,Michael Schumacher,Mercedes,4,1.0
339,2010,155,15,0.0,9,,Kamui Kobayashi,Sauber,2,1.0
339,2010,10,166,0.0,16,,Timo Glock,Virgin,0,0.0
339,2010,37,15,0.0,12,,Pedro de la Rosa,Sauber,0,0.0
340,2010,18,1,25.0,5,1.0,Jenson Button,McLaren,10,1.0
340,2010,1,1,18.0,6,2.0,Lewis Hamilton,McLaren,8,0.0
340,2010,3,131,15.0,4,3.0,Nico Rosberg,Mercedes,12,1.0
340,2010,4,6,12.0,3,4.0,Fernando Alonso,Ferrari,15,1.0
340,2010,9,4,10.0,8,5.0,Robert Kubica,Renault,4,1.0
340,2010,20,9,8.0,1,6.0,Sebastian Vettel,Red Bull,25,1.0
340,2010,808,4,6.0,14,7.0,Vitaly Petrov,Renault,0,0.0
340,2010,17,9,4.0,2,8.0,Mark Webber,Red Bull,18,0.0
340,2010,13,6,2.0,7,9.0,Felipe Massa,Ferrari,6,0.0
340,2010,30,131,1.0,9,10.0,Michael Schumacher,Mercedes,2,0.0
340,2010,16,10,0.0,10,11.0,Adrian Sutil,Force India,1,0.0
340,2010,22,3,0.0,11,12.0,Rubens Barrichello,Williams,0,1.0
340,2010,153,5,0.0,12,13.0,Jaime Alguersuari,Toro Rosso,0,1.0
340,2010,5,205,0.0,21,14.0,Heikki Kovalainen,Lotus,0,0.0
340,2010,807,3,0.0,16,15.0,Nico Hülkenberg,Williams,0,0.0
340,2010,811,164,0.0,23,16.0,Bruno Senna,HRT,0,1.0
340,2010,812,164,0.0,24,17.0,Karun Chandhok,HRT,0,0.0
340,2010,15,205,0.0,20,,Jarno Trulli,Lotus,0,1.0
340,2010,810,166,0.0,22,,Lucas di Grassi,Virgin,0,1.0
340,2010,37,15,0.0,17,,Pedro de la Rosa,Sauber,0,0.0
340,2010,67,5,0.0,13,,Sébastien Buemi,Toro Rosso,0,0.0
340,2010,155,15,0.0,15,,Kamui Kobayashi,Sauber,0,1.0
340,2010,24,10,0.0,18,,Vitantonio Liuzzi,Force India,0,1.0
340,2010,10,166,0.0,19,,Timo Glock,Virgin,0,0.0
341,2010,17,9,25.0,1,1.0,Mark Webber,Red Bull,25,1.0
341,2010,4,6,18.0,4,2.0,Fernando Alonso,Ferrari,12,1.0
341,2010,20,9,15.0,2,3.0,Sebastian Vettel,Red Bull,18,0.0
341,2010,30,131,12.0,6,4.0,Michael Schumacher,Mercedes,8,1.0
341,2010,18,1,10.0,5,5.0,Jenson Button,McLaren,10,1.0
341,2010,13,6,8.0,9,6.0,Felipe Massa,Ferrari,2,0.0
341,2010,16,10,6.0,11,7.0,Adrian Sutil,Force India,0,1.0
341,2010,9,4,4.0,7,8.0,Robert Kubica,Renault,6,1.0
341,2010,22,3,2.0,17,9.0,Rubens Barrichello,Williams,0,1.0
341,2010,153,5,1.0,15,10.0,Jaime Alguersuari,Toro Rosso,0,1.0
341,2010,808,4,0.0,19,11.0,Vitaly Petrov,Renault,0,0.0
341,2010,155,15,0.0,10,12.0,Kamui Kobayashi,Sauber,1,1.0
341,2010,3,131,0.0,8,13.0,Nico Rosberg,Mercedes,4,0.0
341,2010,1,1,0.0,3,14.0,Lewis Hamilton,McLaren,15,0.0
341,2010,24,10,0.0,16,15.0,Vitantonio Liuzzi,Force India,0,0.0
341,2010,807,3,0.0,13,16.0,Nico Hülkenberg,Williams,0,0.0
341,2010,15,205,0.0,18,17.0,Jarno Trulli,Lotus,0,1.0
341,2010,10,166,0.0,22,18.0,Timo Glock,Virgin,0,1.0
341,2010,810,166,0.0,23,19.0,Lucas di Grassi,Virgin,0,0.0
341,2010,67,5,0.0,14,,Sébastien Buemi,Toro Rosso,0,0.0
341,2010,812,164,0.0,24,,Karun Chandhok,HRT,0,1.0
341,2010,37,15,0.0,12,,Pedro de la Rosa,Sauber,0,0.0
341,2010,811,164,0.0,21,,Bruno Senna,HRT,0,0.0
341,2010,5,205,0.0,20,,Heikki Kovalainen,Lotus,0,0.0
342,2010,17,9,25.0,1,1.0,Mark Webber,Red Bull,25,1.0
342,2010,20,9,18.0,3,2.0,Sebastian Vettel,Red Bull,15,0.0
342,2010,9,4,15.0,2,3.0,Robert Kubica,Renault,18,1.0
342,2010,13,6,12.0,4,4.0,Felipe Massa,Ferrari,12,1.0
342,2010,1,1,10.0,5,5.0,Lewis Hamilton,McLaren,10,0.0
342,2010,4,6,8.0,24,6.0,Fernando Alonso,Ferrari,0,0.0
342,2010,3,131,6.0,6,7.0,Nico Rosberg,Mercedes,8,1.0
342,2010,16,10,4.0,12,8.0,Adrian Sutil,Force India,0,1.0
342,2010,24,10,2.0,10,9.0,Vitantonio Liuzzi,Force India,1,0.0
342,2010,67,5,1.0,13,10.0,Sébastien Buemi,Toro Rosso,0,1.0
